authorId,name,paperCnt,lastPub,mostPub,pubPerYearAvg,topic,activity
1,PeterLangfelder,3,2002,2001,1.5,0,1
2,J.A. Helay\{e}l-Neto,1,2003,2003,1,0,0
3,P.M. Lavrov,5,2003,1999,1,0,2
4,Peter Ouyang,5,2002,2002,2.5,0,2
5,K. Kobayashi,1,2003,2003,1,0,0
6,A. van Hameren,1,2003,2003,1,0,0
7,Jae-weon Lee,2,2002,1999,1,0,1
8,Vladimir I.Tkach,1,2000,2000,1,1,0
9,S. W. Kimm,1,2001,2001,1,1,0
10,P. A. Grassi,3,2001,2000,1.5,0,1
11,Matthew J. Slater,1,1999,1999,1,0,0
12,Sachiko Ogushi,19,2002,2001,4.75,0,2
13,N. E. J. Bjerrum-Bohr,2,2003,2002,1,0,1
14,G\unter Plunien,1,2000,2000,1,0,0
15,O. Piguet,2,2001,1999,1,0,1
16,K. Kaviani,1,1999,1999,1,0,0
17,Silvana Perez,5,2003,2002,1.6666666666666667,0,2
18,Kenneth G. Wilson,1,2002,2002,1,1,0
19,Michel Capdequi Peyranere,1,2001,2001,1,1,0
20,J.de Boer,2,2000,1999,1,0,1
21,Igor I. Smolyaninov,1,2001,2001,1,0,0
22,N.Magnoli,1,2001,2001,1,0,0
23,M.Alves,1,1999,1999,1,0,0
24,Suphot Musiri,3,2003,2000,1,0,1
25,Bozhidar Z. Iliev,6,2003,2002,2,1,2
26,Jaroslaw Piskorski,1,2000,2000,1,0,0
27,J. T. Lunardi,3,2000,1999,1.5,0,1
28,Selena Ng,5,2002,2002,2.5,0,2
29,Luca Carlevaro,1,2002,2002,1,0,0
30,Corinne A. Manogue,1,1999,1999,1,0,0
31,Abha Sood,1,2000,2000,1,0,0
32,Roberto Auzzi,2,2002,2002,2,0,1
33,J.M.F. Labastida,2,2000,2000,2,0,1
34,AntoineVan Proeyen,1,1999,1999,1,0,0
35,Bruno Zumino,4,2000,1999,2,0,1
36,Giuseppe Marmo,3,2003,2002,1.5,0,1
37,Marco Laucelli Meana,2,2000,1999,1,0,1
38,C. Daskaloyannis,1,1999,1999,1,0,0
39,K.Noui,1,2002,2002,1,0,0
40,Marco Bochicchio,2,1999,1999,2,1,1
41,K.C. Hannabuss,1,2002,2002,1,0,0
42,V.D. Mur,4,2003,1999,1.3333333333333333,0,1
43,Stephen G. Naculich,5,2002,2002,2.5,0,2
44,Stephen Morris,1,2002,2002,1,0,0
45,M.L. Ciccolini,1,2000,2000,1,0,0
46,Arkady Yu. Segal,1,2001,2001,1,0,0
47,Kanokkuan Chaicherdsakul,1,2002,2002,1,0,0
48,A. El Hassouni,1,2003,2003,1,1,0
49,Ph. Spindel,5,2002,2000,1.6666666666666667,0,2
50,Mihail Mintchev,4,2001,2001,1.3333333333333333,0,1
51,Marco A. C. Kneipp,3,2002,2002,1.5,0,1
52,Tetsu Matsufuji,1,1999,1999,1,0,0
53,Robert Y. Levin,1,2000,2000,1,0,0
54,N.P. Warner,4,2003,1999,2,0,1
55,Matthias Arnsdorf,1,2001,2001,1,0,0
56,D.C. Robinson,1,2002,2002,1,0,0
57,E. Ruiz Arriola,2,2002,1999,1,0,1
58,O.W. Greenberg,4,2001,2000,2,0,1
59,A.Nichols,1,2002,2002,1,1,0
60,R. Marotta,10,2002,2000,2.5,0,2
61,Yim Kok Kean,1,2002,2002,1,0,0
62,Bobby E. Gunara,1,1999,1999,1,0,0
63,Ozgur Sarioglu,1,2002,2002,1,0,0
64,F. Benatti,1,2000,2000,1,0,0
65,M.B. Halpern,2,2002,2002,2,0,1
66,GabrieleTravaglini,2,2000,2000,2,0,1
67,Richard J. Hill,1,2001,2001,1,1,0
68,Andreas Recknagel,3,2002,1999,1,1,1
69,MarcHenneaux,1,2000,2000,1,0,0
70,Klaus Junemann,2,1999,1999,2,0,1
71,B.J. Schulz,2,1999,1999,2,0,1
72,B.E. Baaquie,1,2000,2000,1,0,0
73,Chi-Keung Chow,1,2000,2000,1,0,0
74,G.v.Gersdorff,1,2001,2001,1,1,0
75,S. Detournay,1,2002,2002,1,1,0
76,Allen C. Hirshfeld,4,2002,1999,1,0,1
